         462088 function calls (461222 primitive calls) in 20.483 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.004    0.004 calendar.py:6(<module>)
        1    0.003    0.003    0.040    0.040 plistlib.py:51(<module>)
       84    0.003    0.000    0.003    0.000 sre_compile.py:546(isstring)
        1    0.003    0.003    0.979    0.979 neopixel.py:3(<module>)
        1    0.003    0.003    0.221    0.221 charset.py:6(<module>)
        2    0.003    0.001    0.025    0.013 pkg_resources.py:1711(_is_current)
        1    0.003    0.003    0.003    0.003 {imp.load_dynamic}
        1    0.003    0.003    0.004    0.004 base64.py:3(<module>)
        4    0.003    0.001    0.006    0.001 ssl.py:111(_import_symbols)
      101    0.003    0.000    0.004    0.000 sre_parse.py:266(_escape)
       16    0.003    0.000    0.016    0.001 pkg_resources.py:2290(from_location)
      146    0.003    0.000    0.003    0.000 zipfile.py:383(_decodeExtra)
       72    0.003    0.000    0.004    0.000 posixpath.py:68(join)
       40    0.003    0.000    0.003    0.000 {posix.lstat}
      267    0.003    0.000    0.003    0.000 collections.py:332(<genexpr>)
       43    0.003    0.000    0.414    0.010 re.py:192(compile)
        1    0.003    0.003    0.003    0.003 errors.py:5(<module>)
        8    0.003    0.000    0.003    0.000 {method 'read' of 'file' objects}
       16    0.002    0.000    0.006    0.000 pkg_resources.py:553(add)
       10    0.002    0.000    0.010    0.001 posixpath.py:387(_joinrealpath)
       13    0.002    0.000    0.003    0.000 sre_compile.py:411(_mk_bitmap)
      150    0.002    0.000    0.002    0.000 {_struct.unpack}
       22    0.002    0.000    0.178    0.008 pkg_resources.py:477(add_entry)
      202    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        1    0.002    0.002    0.267    0.267 parser.py:5(<module>)
      172    0.002    0.000    0.002    0.000 {method 'remove' of 'list' objects}
      455    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       15    0.002    0.000    0.075    0.005 pkg_resources.py:1570(load)
       42    0.002    0.000    0.167    0.004 sre_compile.py:552(_code)
        8    0.002    0.000    0.005    0.001 pkg_resources.py:2490(insert_on)
       48    0.002    0.000    0.003    0.000 pkg_resources.py:2346(key)
       16    0.002    0.000    0.010    0.001 pkg_resources.py:2278(__init__)
      146    0.002    0.000    0.002    0.000 zipfile.py:904(getinfo)
        8    0.002    0.000    0.004    0.001 abc.py:148(__subclasscheck__)
        2    0.002    0.001    0.068    0.034 pkg_resources.py:1542(build)
      200    0.002    0.000    0.004    0.000 {method 'join' of 'str' objects}
        9    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x2d4c48}
      173    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
        1    0.002    0.002    0.002    0.002 {_rpi_ws281x.ws2811_init}
      162    0.002    0.000    0.002    0.000 {getattr}
        1    0.002    0.002    0.209    0.209 base64mime.py:25(<module>)
       79    0.002    0.000    0.002    0.000 sre_parse.py:72(opengroup)
       28    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        5    0.002    0.000    0.005    0.001 abc.py:86(__new__)
        1    0.002    0.002    0.002    0.002 {zip}
      146    0.002    0.000    0.002    0.000 zipfile.py:377(_decodeFilename)
        6    0.001    0.000    0.001    0.000 {dir}
       40    0.001    0.000    0.005    0.000 posixpath.py:139(islink)
       42    0.001    0.000    0.001    0.000 {_sre.compile}
        1    0.001    0.001    0.002    0.002 img.py:1(<module>)
      100    0.001    0.000    0.015    0.000 pkg_resources.py:2050(_normalize_cached)
      148    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
        1    0.001    0.001    0.001    0.001 plistlib.py:393(PlistParser)
       30    0.001    0.000    0.005    0.000 genericpath.py:38(isdir)
       79    0.001    0.000    0.002    0.000 sre_parse.py:83(closegroup)
      123    0.001    0.000    0.001    0.000 sre_parse.py:143(__setitem__)
       17    0.001    0.000    0.002    0.000 sre_parse.py:225(isname)
        1    0.001    0.001    0.001    0.001 message.py:92(Message)
       28    0.001    0.000    0.004    0.000 {all}
      366    0.001    0.000    0.001    0.000 {ord}
       42    0.001    0.000    0.003    0.000 sre_parse.py:187(__init__)
        1    0.001    0.001    0.001    0.001 tempfile.py:18(<module>)
       28    0.001    0.000    0.008    0.000 re.py:148(sub)
        1    0.001    0.001    0.001    0.001 contextlib.py:1(<module>)
        2    0.001    0.000    0.001    0.001 zipfile.py:872(namelist)
       22    0.001    0.000    0.013    0.001 pkg_resources.py:1852(find_distributions)
        1    0.001    0.001    0.001    0.001 symbol.py:3(<module>)
       22    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
       16    0.001    0.000    0.001    0.000 {posix.access}
       17    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.004    0.004 img.py:5(__init__)
        8    0.001    0.000    0.019    0.002 pkg_resources.py:2414(activate)
        1    0.001    0.001    0.179    0.179 platform.py:10(<module>)
       50    0.001    0.000    0.001    0.000 {math.log}
       24    0.001    0.000    0.001    0.000 pkg_resources.py:2450(__getattr__)
       22    0.001    0.000    0.001    0.000 pkgutil.py:366(get_importer)
        2    0.001    0.000    0.029    0.015 pkg_resources.py:1659(_extract_resource)
        1    0.001    0.001    0.001    0.001 socket.py:179(_socketobject)
       19    0.001    0.000    0.002    0.000 _weakrefset.py:58(__iter__)
       48    0.001    0.000    0.001    0.000 {math.cos}
        1    0.001    0.001    0.001    0.001 token.py:1(<module>)
       16    0.001    0.000    0.001    0.000 genericpath.py:85(_splitext)
       61    0.001    0.000    0.001    0.000 {_sre.getlower}
       42    0.001    0.000    0.001    0.000 sre_parse.py:67(__init__)
        6    0.001    0.000    0.047    0.008 {map}
       30    0.001    0.000    0.001    0.000 stat.py:40(S_ISDIR)
        8    0.001    0.000    0.084    0.010 pkg_resources.py:1753(_has)
        1    0.001    0.001    0.001    0.001 ssl.py:125(<dictcomp>)
      239    0.001    0.000    0.001    0.000 {method 'isalnum' of 'str' objects}
        4    0.001    0.000    0.001    0.000 {open}
        2    0.001    0.000    0.002    0.001 zipfile.py:201(_EndRecData)
       39    0.001    0.000    0.001    0.000 stat.py:55(S_ISLNK)
       52    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.001    0.001    0.009    0.009 quoprimime.py:27(<module>)
       12    0.001    0.000    0.001    0.000 pkg_resources.py:1462(_fn)
       52    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        1    0.001    0.001    0.001    0.001 <string>:1(<module>)
        8    0.001    0.000    0.001    0.000 {method 'seek' of 'file' objects}
        8    0.001    0.000    0.006    0.001 abc.py:105(register)
       48    0.001    0.000    0.001    0.000 {math.sin}
        1    0.001    0.001    0.001    0.001 os.py:35(_get_exports_list)
        8    0.001    0.000    0.013    0.002 pkg_resources.py:2409(_get_metadata)
        1    0.001    0.001    0.001    0.001 uu.py:31(<module>)
       71    0.001    0.000    0.001    0.000 stat.py:24(S_IFMT)
        9    0.001    0.000    0.001    0.000 posixpath.py:127(dirname)
        1    0.000    0.000    0.001    0.001 neopixel.py:53(__init__)
       28    0.000    0.000    0.001    0.000 collections.py:358(<genexpr>)
       15    0.000    0.000    0.075    0.005 pkg_resources.py:1633(zipinfo)
        5    0.000    0.000    0.001    0.000 pkg_resources.py:1484(_setup_prefix)
        2    0.000    0.000    0.056    0.028 zipfile.py:726(__init__)
        8    0.000    0.000    0.084    0.011 pkg_resources.py:1858(find_eggs_in_zip)
       16    0.000    0.000    0.001    0.000 posixpath.py:104(splitext)
       43    0.000    0.000    0.000    0.000 {setattr}
       82    0.000    0.000    0.000    0.000 sre_parse.py:219(isident)
        8    0.000    0.000    0.001    0.000 pkg_resources.py:2010(fixup_namespace_packages)
       28    0.000    0.000    0.001    0.000 collections.py:356(<genexpr>)
       10    0.000    0.000    0.013    0.001 pkg_resources.py:2046(normalize_path)
       16    0.000    0.000    0.007    0.000 pkg_resources.py:1154(safe_name)
        1    0.000    0.000    0.017    0.017 random.py:100(seed)
        8    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       16    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
    27/16    0.000    0.000    0.005    0.000 {issubclass}
       12    0.000    0.000    0.002    0.000 pkg_resources.py:1162(safe_version)
        9    0.000    0.000    0.085    0.009 pkg_resources.py:1398(has_metadata)
        4    0.000    0.000    0.012    0.003 pkg_resources.py:2456(from_filename)
       10    0.000    0.000    0.003    0.000 posixpath.py:365(abspath)
       54    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 parser.py:86(HeaderParser)
       10    0.000    0.000    0.013    0.001 posixpath.py:379(realpath)
        4    0.000    0.000    0.000    0.000 {time.mktime}
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        2    0.000    0.000    0.002    0.001 pkg_resources.py:1002(get_cache_path)
        8    0.000    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
        5    0.000    0.000    0.000    0.000 {repr}
       15    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.001    0.001 pkg_resources.py:2865(_initialize)
       10    0.000    0.000    0.000    0.000 pkg_resources.py:1614(_zipinfo_name)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
       16    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        5    0.000    0.000    0.001    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.132    0.132 pkg_resources.py:422(__init__)
       20    0.000    0.000    0.001    0.000 posixpath.py:59(isabs)
        1    0.000    0.000    0.000    0.000 {_rpi_ws281x.new_ws2811_t}
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        2    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
       40    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2274(Distribution)
       21    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        2    0.000    0.000    0.001    0.000 pkg_resources.py:1110(get_default_cache)
        1    0.000    0.000    0.000    0.000 zipfile.py:709(ZipFile)
        9    0.000    0.000    0.000    0.000 pkg_resources.py:536(__iter__)
        1    0.000    0.000    0.020    0.020 pkg_resources.py:752(subscribe)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
       47    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        4    0.000    0.000    0.000    0.000 zipfile.py:1261(close)
        1    0.000    0.000    0.000    0.000 <string>:1(DefaultVerifyPaths)
        2    0.000    0.000    0.000    0.000 posixpath.py:258(expanduser)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:96(_declare_state)
        1    0.000    0.000    0.000    0.000 sysconfig.py:584(get_platform)
        4    0.000    0.000    0.001    0.000 pkg_resources.py:1829(__init__)
        9    0.000    0.000    0.000    0.000 posixpath.py:119(basename)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        2    0.000    0.000    0.000    0.000 {_ssl.txt2obj}
        8    0.000    0.000    0.019    0.002 pkg_resources.py:2884(<lambda>)
        1    0.000    0.000    0.000    0.000 neopixel.py:52(Adafruit_NeoPixel)
        1    0.000    0.000    0.000    0.000 ssl.py:479(SSLSocket)
        1    0.000    0.000    0.000    0.000 tempfile.py:505(SpooledTemporaryFile)
        1    0.000    0.000    0.132    0.132 pkg_resources.py:435(_build_master)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1623(_parts)
