         476260 function calls (475394 primitive calls) in 22.259 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.979    0.979 neopixel.py:3(<module>)
        1    0.003    0.003    0.004    0.004 base64.py:3(<module>)
       84    0.003    0.000    0.003    0.000 sre_compile.py:546(isstring)
      101    0.003    0.000    0.004    0.000 sre_parse.py:266(_escape)
        1    0.003    0.003    0.003    0.003 heapq.py:31(<module>)
        2    0.003    0.001    0.025    0.013 pkg_resources.py:1711(_is_current)
        1    0.003    0.003    0.218    0.218 charset.py:6(<module>)
        1    0.003    0.003    0.003    0.003 {imp.load_dynamic}
        4    0.003    0.001    0.006    0.001 ssl.py:111(_import_symbols)
       16    0.003    0.000    0.016    0.001 pkg_resources.py:2290(from_location)
        1    0.003    0.003    0.003    0.003 errors.py:5(<module>)
       13    0.003    0.000    0.003    0.000 sre_compile.py:411(_mk_bitmap)
       40    0.003    0.000    0.003    0.000 {posix.lstat}
       72    0.003    0.000    0.004    0.000 posixpath.py:68(join)
       43    0.003    0.000    0.421    0.010 re.py:192(compile)
      146    0.003    0.000    0.003    0.000 zipfile.py:383(_decodeExtra)
       16    0.002    0.000    0.006    0.000 pkg_resources.py:553(add)
        8    0.002    0.000    0.002    0.000 {method 'read' of 'file' objects}
        1    0.002    0.002    0.264    0.264 parser.py:5(<module>)
       10    0.002    0.000    0.010    0.001 posixpath.py:387(_joinrealpath)
      202    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      267    0.002    0.000    0.003    0.000 collections.py:332(<genexpr>)
       22    0.002    0.000    0.175    0.008 pkg_resources.py:477(add_entry)
      150    0.002    0.000    0.002    0.000 {_struct.unpack}
        8    0.002    0.000    0.005    0.001 pkg_resources.py:2490(insert_on)
       15    0.002    0.000    0.073    0.005 pkg_resources.py:1570(load)
       42    0.002    0.000    0.174    0.004 sre_compile.py:552(_code)
      455    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        9    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x2d4c48}
       48    0.002    0.000    0.003    0.000 pkg_resources.py:2346(key)
       16    0.002    0.000    0.011    0.001 pkg_resources.py:2278(__init__)
        8    0.002    0.000    0.004    0.001 abc.py:148(__subclasscheck__)
      146    0.002    0.000    0.002    0.000 zipfile.py:904(getinfo)
      200    0.002    0.000    0.004    0.000 {method 'join' of 'str' objects}
      173    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
        1    0.002    0.002    0.002    0.002 {_rpi_ws281x.ws2811_init}
        1    0.002    0.002    0.002    0.002 {zip}
       28    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.002    0.002    0.207    0.207 base64mime.py:25(<module>)
      492    0.002    0.000    0.002    0.000 {method 'random' of '_random.Random' objects}
        2    0.002    0.001    0.066    0.033 pkg_resources.py:1542(build)
        5    0.002    0.000    0.005    0.001 abc.py:86(__new__)
      162    0.002    0.000    0.002    0.000 {getattr}
       79    0.002    0.000    0.002    0.000 sre_parse.py:72(opengroup)
        6    0.002    0.000    0.002    0.000 {dir}
      146    0.001    0.000    0.001    0.000 zipfile.py:377(_decodeFilename)
       84    0.001    0.000    0.001    0.000 {math.log}
        1    0.001    0.001    0.002    0.002 img.py:1(<module>)
